timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,tempMPU,IR,Red,BPM,DS1
4477866586,300,692,16088,-300,-7,-222,35.78,455,88,0.00,31.94
4478491665,144,656,16092,-315,-58,-235,35.82,86,1603,0.00,31.94
4478526156,168,660,16092,-281,-33,-223,35.78,89,1564,0.00,31.94
4479151235,244,644,16152,-291,-4,-222,35.78,1661,726,0.00,31.94
4479184504,180,660,15936,-304,-28,-222,35.73,1665,644,0.00,31.94
4479809574,260,596,16028,-292,-56,-241,35.87,1689,591,0.00,31.94
4479842872,236,728,16156,-309,-15,-232,35.82,659,579,0.50,31.94
4480467950,204,672,15944,-307,-36,-237,35.78,556,219,0.00,31.94
4480502425,224,748,16028,-316,-37,-225,35.73,572,202,0.00,31.94
4481127518,140,616,16040,-275,-8,-233,35.78,233,142,0.78,31.94
4481160803,264,696,16020,-319,-25,-239,35.82,216,124,0.00,31.94
4481785898,220,644,16076,-288,-25,-234,35.87,97,1561,0.00,31.94
4481819164,252,736,15952,-318,-34,-218,35.78,128,1595,0.00,31.94
4482444243,256,556,16180,-310,-3,-238,35.73,1558,576,0.00,31.94
4482477536,168,672,16108,-306,-35,-218,35.73,1554,573,0.74,31.94
4483102692,216,652,16164,-330,-35,-236,35.78,639,552,0.00,31.94
4483137174,192,672,15992,-301,-15,-218,35.78,590,564,0.00,31.94
4483762243,172,656,16036,-310,-32,-228,35.78,560,239,0.00,31.94
4483795514,140,684,15980,-303,-19,-235,35.78,606,224,0.00,31.94
4484420599,168,652,16088,-300,-39,-234,35.78,191,100,0.52,31.94
4484453872,236,708,16080,-298,-23,-230,35.78,222,110,0.00,31.94
4485078953,196,624,16036,-281,-36,-218,35.78,89,1561,1.52,31.94
4485113441,352,652,16040,-308,-6,-218,35.68,89,1547,0.00,31.94
4485738501,100,688,16100,-298,-17,-209,35.73,1625,651,0.00,31.94
4485771771,188,736,16036,-304,-43,-220,35.82,1645,637,0.00,31.94
4486396830,140,628,16028,-306,-9,-212,35.68,703,584,0.76,31.94
4486430112,220,680,16060,-317,-29,-236,35.87,692,559,0.00,31.94
4487055173,256,644,16020,-293,-36,-210,35.73,598,238,0.00,31.94
4487089658,204,700,16148,-284,-34,-223,35.73,566,241,0.00,31.94
4487714735,268,652,16064,-279,-34,-222,35.78,540,95,0.00,31.94
4487748016,200,648,16088,-297,-31,-220,35.73,539,100,0.00,31.94
4488373088,180,672,15956,-287,-28,-220,35.78,147,1667,0.00,31.94
4488406366,156,560,16080,-291,-58,-225,35.73,137,1682,0.00,31.94
4489031436,272,620,16192,-292,-15,-222,35.82,1208,1392,0.00,31.94
4489065940,208,660,16052,-297,-29,-212,35.78,1318,1182,0.00,31.94
4489691025,192,604,15968,-284,-25,-234,35.78,1849,629,0.00,31.94
4489724305,164,644,16104,-297,-23,-236,35.73,1827,625,0.30,31.94
4490349377,180,636,16156,-320,-6,-228,35.68,535,568,0.00,31.94
4490382640,252,720,16100,-296,-26,-217,35.87,599,559,0.00,31.94
4491007717,204,688,16032,-317,-41,-226,35.78,573,158,0.78,31.94
4491042219,332,676,16284,-308,-48,-233,35.68,546,164,0.00,31.94
4491667282,216,688,16000,-291,0,-228,35.87,189,664,0.00,31.94
4491700545,224,660,16208,-307,-50,-236,35.87,214,884,0.00,31.94
4492325614,284,728,16112,-310,-15,-238,35.73,78,1625,0.76,31.94
4492358911,188,664,16016,-302,-20,-208,35.78,119,1745,0.00,31.94
4492984010,212,584,16040,-298,-20,-234,35.82,1525,572,0.00,31.94
4493018490,68,552,16028,-322,-44,-212,35.73,1531,568,0.00,31.94
4493643565,236,512,16088,-285,-19,-214,35.78,624,670,0.76,31.94
4493676849,192,732,15980,-307,-20,-250,35.82,617,579,0.00,31.94
4494301915,216,636,16084,-284,-51,-225,35.64,552,215,0.00,31.94
4494335201,216,576,16252,-306,-7,-214,35.78,593,234,0.00,31.94
4494960272,284,640,15852,-306,-32,-227,35.73,246,91,0.76,31.94
4494993554,312,588,16096,-310,-16,-230,35.73,237,99,0.00,31.94
4495618715,224,612,16044,-303,-35,-211,35.73,103,1599,0.00,31.94
4495653190,184,592,16164,-291,-35,-219,35.78,71,1601,0.00,31.94
4496278259,172,624,16068,-305,-9,-210,35.73,1632,713,0.00,31.94
4496311522,164,668,16096,-324,-18,-248,35.73,1701,682,0.00,31.94
